step,loss,mean_score,median_score,std_score,max_score,min_score
447000,3.65,1.6,2.0,0.8,2.0,0.0
448000,3.65,1.1,0.0,1.37,3.0,0.0
449000,3.65,2.4,2.0,0.66,4.0,2.0
450000,3.65,0.5,0.0,0.81,2.0,0.0
451000,3.64,2.5,2.0,0.92,5.0,2.0
452000,3.64,1.7,1.0,2.0,6.0,0.0
453000,3.63,0.0,0.0,0.0,0.0,0.0
454000,3.64,2.3,2.0,1.1,4.0,0.0
455000,3.63,2.2,2.0,0.4,3.0,2.0
456000,3.64,1.9,2.0,1.37,4.0,0.0
457000,3.63,2.3,2.0,0.64,4.0,2.0
458000,3.63,0.2,0.0,0.6,2.0,0.0
459000,3.64,1.0,0.0,1.26,3.0,0.0
460000,3.62,2.3,2.0,1.19,5.0,0.0
461000,3.63,0.0,0.0,0.0,0.0,0.0
462000,3.63,0.0,0.0,0.0,0.0,0.0
463000,3.63,0.2,0.0,0.6,2.0,0.0
464000,3.63,2.2,2.0,0.98,4.0,0.0
465000,3.63,0.0,0.0,0.0,0.0,0.0
466000,3.62,0.0,0.0,0.0,0.0,0.0
467000,3.63,2.1,2.0,0.3,3.0,2.0
468000,3.63,2.4,3.0,2.11,5.0,0.0
469000,3.63,0.2,0.0,0.6,2.0,0.0
470000,3.63,1.1,1.0,1.14,3.0,0.0
471000,3.62,1.9,2.0,1.76,5.0,0.0
472000,3.61,1.5,1.0,1.75,5.0,0.0
473000,3.62,2.2,2.0,0.4,3.0,2.0
474000,3.62,1.2,2.0,0.98,2.0,0.0
475000,3.63,0.0,0.0,0.0,0.0,0.0
476000,3.63,0.0,0.0,0.0,0.0,0.0
477000,3.62,2.4,2.5,1.85,5.0,0.0
478000,3.62,1.1,1.0,1.14,3.0,0.0
479000,3.62,0.0,0.0,0.0,0.0,0.0
480000,3.61,1.6,2.0,1.11,3.0,0.0
481000,3.62,1.5,0.0,1.96,5.0,0.0
482000,3.61,2.3,2.0,0.64,4.0,2.0
483000,3.61,0.0,0.0,0.0,0.0,0.0
484000,3.61,2.5,2.5,1.57,5.0,0.0
485000,3.62,0.0,0.0,0.0,0.0,0.0
486000,3.62,2.1,2.0,0.83,3.0,0.0
487000,3.62,2.0,2.0,1.61,5.0,0.0
488000,3.61,1.5,1.0,1.86,6.0,0.0
489000,3.6,0.0,0.0,0.0,0.0,0.0
490000,3.59,1.2,1.0,1.25,3.0,0.0
491000,3.59,0.0,0.0,0.0,0.0,0.0
492000,3.49,2.0,2.0,0.77,3.0,0.0
493000,3.61,0.0,0.0,0.0,0.0,0.0
494000,3.59,0.2,0.0,0.6,2.0,0.0
495000,3.6,2.1,2.0,1.64,5.0,0.0
496000,3.59,2.3,2.0,1.0,4.0,0.0
497000,3.59,2.3,2.0,1.49,5.0,0.0
498000,3.6,0.0,0.0,0.0,0.0,0.0
499000,3.61,0.0,0.0,0.0,0.0,0.0
500000,3.61,2.2,2.0,0.6,4.0,2.0
501000,3.6,0.0,0.0,0.0,0.0,0.0
502000,3.59,2.4,2.5,1.02,4.0,0.0
503000,3.59,0.0,0.0,0.0,0.0,0.0
504000,3.59,2.3,2.0,0.64,4.0,2.0
505000,3.6,0.2,0.0,0.6,2.0,0.0
506000,3.61,0.0,0.0,0.0,0.0,0.0
507000,3.59,1.8,2.0,1.33,4.0,0.0
508000,3.59,1.8,1.0,2.04,5.0,0.0
509000,3.59,0.0,0.0,0.0,0.0,0.0
